상호명,업종,분류,행정동명,지번주소,경도,위도
성화관,중식,중국집,대원동,경상남도 창원시 성산구 대원동 95-18,128.6504882,35.23189118
솔푸드,한식,백반/한정식,양덕동,경상남도 창원시 마산회원구 양덕동 149-2,128.5868764,35.22404944
비즈푸드,기타 간이,김밥/만두/분식,자은동,경상남도 창원시 진해구 자은동 136-4,128.7143114,35.15463162
도계밤바다,한식,백반/한정식,도계동,경상남도 창원시 의창구 도계동 352-10,128.6371735,35.25866184
다복식당,한식,백반/한정식,진동면,경상남도 창원시 마산합포구 진동면 진동리 723,128.4878364,35.12340256
신와룡성,중식,중국집,장군동4가,경상남도 창원시 마산합포구 장군동4가 22-3,128.564346,35.19708687
서민소주호프,한식,백반/한정식,도계동,경상남도 창원시 의창구 도계동 326-18,128.637621,35.25966906
솔내음,한식,백반/한정식,대산면,경상남도 창원시 의창구 대산면 모산리 258-4,128.7129155,35.35771768
불멸의이순신국밥,한식,국/탕/찌개류,사림동,경상남도 창원시 의창구 사림동 55-11,128.6894812,35.24264553
충무로38양곱창,한식,곱창 전골/구이,해운동,경상남도 창원시 마산합포구 해운동 39-2,128.5616708,35.17857501
타이무카타,동남아시아,기타 동남아식 전문,상남동,경상남도 창원시 성산구 상남동 18-10,128.6842288,35.22166343
미녀대게,한식,해산물 구이/찜,양덕동,경상남도 창원시 마산회원구 양덕동 58-19,128.585291,35.22814054
본′오스떼,서양식,경양식,장천동,경상남도 창원시 진해구 장천동 422-6,128.7066179,35.13056365
진해이창민밀면,한식,냉면/밀면,풍호동,경상남도 창원시 진해구 풍호동 83-44,128.7054267,35.1362045
다이꼬지,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 34-2,128.6815836,35.22060567
유부공방창원한마음,기타 간이,김밥/만두/분식,사림동,경상남도 창원시 의창구 사림동 164-1,128.6986369,35.23786964
사해방탕수육,중식,중국집,석동,경상남도 창원시 진해구 석동 229-9,128.7009346,35.15749514
오가리수제비와풍천민물장어,한식,횟집,석전동,경상남도 창원시 마산회원구 석전동 245-17,128.5780404,35.23123119
바다이야기,한식,횟집,명동,경상남도 창원시 진해구 명동 337,128.7211325,35.09671071
우마미,한식,백반/한정식,중앙동,경상남도 창원시 성산구 중앙동 98-3,128.6766558,35.22245416
새옹지마찜,한식,백반/한정식,반지동,경상남도 창원시 성산구 반지동 57-23,128.6642558,35.24020856
자담치킨진해,기타 간이,치킨,용원동,경상남도 창원시 진해구 용원동 1343-11,128.8146596,35.08714023
메츠타,동남아시아,베트남식 전문,중앙동,경상남도 창원시 성산구 중앙동 70-11,128.6768937,35.22729342
전포여관마산,한식,백반/한정식,합성동,경상남도 창원시 마산회원구 합성동 125-4,128.5834686,35.23752408
떡볶이참잘하는집떡참창원가음정점,기타 간이,김밥/만두/분식,남양동,경상남도 창원시 성산구 남양동 24,128.7006539,35.20921111
희야네국수,한식,국수/칼국수,여좌동,경상남도 창원시 진해구 여좌동 105-25,128.6621531,35.15716342
시장반점,중식,중국집,경화동,경상남도 창원시 진해구 경화동 941-11,128.6900015,35.15608858
낭만치맥창원,기타 간이,치킨,중앙동,경상남도 창원시 성산구 중앙동 80-3,128.6776041,35.22684776
돼지국밥&뼈해장국,한식,백반/한정식,가음동,경상남도 창원시 성산구 가음동 21-20,128.6970196,35.20806025
순흥골,한식,돼지고기 구이/찜,내서읍,경상남도 창원시 마산회원구 내서읍 신감리 569-3,128.5020351,35.19508961
암사해물찜,한식,해산물 구이/찜,남양동,경상남도 창원시 성산구 남양동 11,128.7004835,35.21367409
육회한총각,한식,돼지고기 구이/찜,팔용동,경상남도 창원시 의창구 팔용동 101-1,128.6138749,35.25571747
마부육전창원어반브릭스점,한식,전/부침개,중동,경상남도 창원시 의창구 중동 784-1,128.6250252,35.25663392
오리엔탈게이트,중식,중국집,자은동,경상남도 창원시 진해구 자은동 963-18,128.7091623,35.14939757
두루미찜,한식,백반/한정식,명서동,경상남도 창원시 의창구 명서동 75-4,128.6459106,35.24897943
여정푸드,한식,백반/한정식,용호동,경상남도 창원시 성산구 용호동 73-24,128.6810799,35.23000122
청해횟집,한식,횟집,남성동,경상남도 창원시 마산합포구 남성동 245-8,128.5765159,35.20208652
중리울트라반점,중식,중국집,내서읍,경상남도 창원시 마산회원구 내서읍 삼계리 270-8,128.5038463,35.22518968
빠렛토식당,일식,일식 회/초밥,상남동,경상남도 창원시 성산구 상남동 36-4,128.6829869,35.21897521
삼립특창원유통,한식,돼지고기 구이/찜,자은동,경상남도 창원시 진해구 자은동 262-13,128.7114624,35.15517121
대감치킨,기타 간이,치킨,용원동,경상남도 창원시 진해구 용원동 1221-2,128.8152345,35.10082898
블레드치킨,기타 간이,치킨,도계동,경상남도 창원시 의창구 도계동 353-3,128.6381398,35.25855759
바다이야기,한식,횟집,용원동,경상남도 창원시 진해구 용원동 1212-10,128.8130682,35.10137536
동전집,한식,전/부침개,중앙동,경상남도 창원시 성산구 중앙동 70-15,128.6762923,35.22762129
창동국밥,한식,국/탕/찌개류,동성동,경상남도 창원시 마산합포구 동성동 229-3,128.5767901,35.2067005
성숙,한식,백반/한정식,자은동,경상남도 창원시 진해구 자은동 800-3,128.7061441,35.14304213
더바른푸드,한식,백반/한정식,석동,경상남도 창원시 진해구 석동 186-1,128.7024403,35.15388975
제주도,한식,백반/한정식,산호동,경상남도 창원시 마산합포구 산호동 38-1,128.5810404,35.21747019
우성반점,중식,중국집,이동,경상남도 창원시 진해구 이동 69-126,128.7003441,35.14879081
가마솥통닭,기타 간이,치킨,구암동,경상남도 창원시 마산회원구 구암동 18-4,128.5907724,35.24777381
명가자갈치양구이,한식,돼지고기 구이/찜,동성동,경상남도 창원시 마산합포구 동성동 315,128.5796464,35.20370316
도돼지,한식,돼지고기 구이/찜,수송동,경상남도 창원시 진해구 수송동 5-2,128.6563778,35.15009161
뚱순이네,기타 간이,김밥/만두/분식,창동,경상남도 창원시 마산합포구 창동 38-1,128.5741702,35.20740705
모녀김밥,기타 간이,김밥/만두/분식,북면,경상남도 창원시 의창구 북면 감계리 56,128.5968757,35.30536201
야식공장내서점,기타 간이,그 외 기타 간이 음식점,내서읍,경상남도 창원시 마산회원구 내서읍 상곡리 192,128.4994428,35.24518342
안다미로,한식,백반/한정식,귀산동,경상남도 창원시 성산구 귀산동 519,128.6078034,35.16510136
김밥시티,기타 간이,김밥/만두/분식,남문동,경상남도 창원시 진해구 남문동 1256-1,128.7511998,35.10433452
영춘화루,중식,중국집,창포동3가,경상남도 창원시 마산합포구 창포동3가 7-5,128.5596605,35.18161311
신전떡볶이,기타 간이,김밥/만두/분식,상남동,경상남도 창원시 성산구 상남동 19-1,128.6859947,35.22135597
타이짬뽕,중식,중국집,남양동,경상남도 창원시 성산구 남양동 27-11,128.7061196,35.20750273
하동장작불국밥,한식,국/탕/찌개류,북면,경상남도 창원시 의창구 북면 동전리 60-3,128.6055275,35.3183443
일구칠일,한식,백반/한정식,경화동,경상남도 창원시 진해구 경화동 941-7,128.69007,35.1564127
갓츠킹진해자은점,일식,일식 회/초밥,자은동,경상남도 창원시 진해구 자은동 661-8,128.7050694,35.14185851
택이네조개전골,한식,해산물 구이/찜,상남동,경상남도 창원시 성산구 상남동 34-10,128.6811988,35.22056276
우리집밥상,한식,백반/한정식,구산면,경상남도 창원시 마산합포구 구산면 내포리 213,128.5832693,35.09585671
